Abandoned Carts Email,Email des paniers abandonnés
Abandoned Carts Emails,Emails des paniers abandonnés
Enable Abandoned Carts Notification,Activer les notifications de paniers abandonnés
Enable Sale Abandoned Carts Notification,Activer les notifications de paniers abandonnés en promo
Dry Run,Test
Setting this parameter to Yes will log all the email addresses supposed to receive a notification into the var/log/digitalpianism_abandonedcarts.log file and will not send the real email notification,Mettre la valeur à Oui enregistrera toutes les adresses emails supposés recevoir une notification dans le fichier var/log/digitalpianism_abandonedcarts.log et n'enverra pas les emails
Test Email,Email de test
With dry run set to yes, this email is used to filter the emails supposed to be sent and only send a notification email to the customer with this email address,Avec Test à Oui, cette adresse email sera utilisée pour filter les emails supposés être envoyé et seulement envoyé l'email de notification au client avec cette adresse
Send Notifications Now,Envoyer les notification maintenant
Cron Schedule,Réglage du cron
Sender Name,Nom de l'expéditeur
Sender Email,Email de l'expéditeur
Email Template for Unaltered Abandoned Carts,Gabarit d'email pour les paniers abandonnés non modifiés
Send Abandoned Cart Email After,Envoyer l'email de notification après
(days). NB: this only affects unaltered abandoned carts. If products go on sale, the email below is sent on the same day.,(jours). NB: cela affecte seulement les paniers abandonnés non modifiés. Si un des produits passent en promotion, l'email ci dessous sera envoyé le même jour.
Email Template for Sale Products,Gabarit d'email pour les produits en promo